NO,EXT/INT,DARI,NOMOR SURAT,TANGGAL SURAT,TANGGAL TERIMA,PERIHAL,KETERANGAN,TANGGAL SELESAI
1,INTERNAL,Cynde Pammenter,183/KG/2025,11/12/2024,error: Field 'this' not found,Pengajuan Kerjasama,"Proin leo odio, porttitor id, consequat in, consequat ut, nulla. Sed accumsan felis. Ut at dolor quis odio consequat varius.","Syntax error in formula '__legacy_if(this['STATUS'] == 'Selesai', new Date(new Date(this['TGL TERIMA']).getTime() + rand(1,10)*24*60*60*1000), null)'"
2,EXTERNAL,Gay Moore,955/GX/2024,10/29/2023,error: Field 'this' not found,Konfirmasi,"Morbi non lectus. Aliquam sit amet diam in magna bibendum imperdiet. Nullam orci pede, venenatis non, sodales sed, tincidunt eu, felis.

Fusce posuere felis sed lacus. Morbi sem mauris, laoreet ut, rhoncus aliquet, pulvinar sed, nisl. Nunc rhoncus dui vel sem.","Syntax error in formula '__legacy_if(this['STATUS'] == 'Selesai', new Date(new Date(this['TGL TERIMA']).getTime() + rand(1,10)*24*60*60*1000), null)'"
3,INTERNAL,Athene Kaminski,038/HK/2025,2/3/2024,error: Field 'this' not found,Pengaduan,"Proin eu mi. Nulla ac enim. In tempor, turpis nec euismod scelerisque, quam turpis adipiscing lorem, vitae mattis nibh ligula nec sem.

Duis aliquam convallis nunc. Proin at turpis a pede posuere nonummy. Integer non velit.

Donec diam neque, vestibulum eget, vulputate ut, ultrices vel, augue. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Donec pharetra, magna vestibulum aliquet ultrices, erat tortor sollicitudin mi, sit amet lobortis sapien sapien non mi. Integer ac neque.","Syntax error in formula '__legacy_if(this['STATUS'] == 'Selesai', new Date(new Date(this['TGL TERIMA']).getTime() + rand(1,10)*24*60*60*1000), null)'"
4,EXTERNAL,Bram Spiby,506/TN/2026,9/19/2023,error: Field 'this' not found,Pengajuan Kerjasama,Phasellus sit amet erat. Nulla tempus. Vivamus in felis eu sapien cursus vestibulum.,"Syntax error in formula '__legacy_if(this['STATUS'] == 'Selesai', new Date(new Date(this['TGL TERIMA']).getTime() + rand(1,10)*24*60*60*1000), null)'"
5,INTERNAL,Shelba Bullent,958/JS/2025,10/1/2024,error: Field 'this' not found,Laporan,Aenean lectus. Pellentesque eget nunc. Donec quis orci eget orci vehicula condimentum.,"Syntax error in formula '__legacy_if(this['STATUS'] == 'Selesai', new Date(new Date(this['TGL TERIMA']).getTime() + rand(1,10)*24*60*60*1000), null)'"
6,INTERNAL,Paddie Saket,859/KP/2026,1/31/2024,error: Field 'this' not found,Pemberitahuan,In quis justo. Maecenas rhoncus aliquam lacus. Morbi quis tortor id nulla ultrices aliquet.,"Syntax error in formula '__legacy_if(this['STATUS'] == 'Selesai', new Date(new Date(this['TGL TERIMA']).getTime() + rand(1,10)*24*60*60*1000), null)'"
7,INTERNAL,Trixie Scantlebury,322/CC/2026,9/30/2025,error: Field 'this' not found,Permohonan,"Nulla ut erat id mauris vulputate elementum. Nullam varius. Nulla facilisi.

Cras non velit nec nisi vulputate nonummy. Maecenas tincidunt lacus at velit. Vivamus vel nulla eget eros elementum pellentesque.

Quisque porta volutpat erat. Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla. Nunc purus.","Syntax error in formula '__legacy_if(this['STATUS'] == 'Selesai', new Date(new Date(this['TGL TERIMA']).getTime() + rand(1,10)*24*60*60*1000), null)'"
8,EXTERNAL,Christal Rigardeau,138/YM/2025,2/16/2026,error: Field 'this' not found,Laporan,In quis justo. Maecenas rhoncus aliquam lacus. Morbi quis tortor id nulla ultrices aliquet.,"Syntax error in formula '__legacy_if(this['STATUS'] == 'Selesai', new Date(new Date(this['TGL TERIMA']).getTime() + rand(1,10)*24*60*60*1000), null)'"
9,EXTERNAL,Jolene Bruckman,725/LT/2025,1/8/2025,error: Field 'this' not found,Pemberitahuan,"Curabitur gravida nisi at nibh. In hac habitasse platea dictumst. Aliquam augue quam, sollicitudin vitae, consectetuer eget, rutrum at, lorem.

Integer tincidunt ante vel ipsum. Praesent blandit lacinia erat. Vestibulum sed magna at nunc commodo placerat.

Praesent blandit. Nam nulla. Integer pede justo, lacinia eget, tincidunt eget, tempus vel, pede.","Syntax error in formula '__legacy_if(this['STATUS'] == 'Selesai', new Date(new Date(this['TGL TERIMA']).getTime() + rand(1,10)*24*60*60*1000), null)'"
10,INTERNAL,Celinda Stampfer,085/YL/2024,6/24/2025,error: Field 'this' not found,Laporan,"Curabitur gravida nisi at nibh. In hac habitasse platea dictumst. Aliquam augue quam, sollicitudin vitae, consectetuer eget, rutrum at, lorem.

Integer tincidunt ante vel ipsum. Praesent blandit lacinia erat. Vestibulum sed magna at nunc commodo placerat.

Praesent blandit. Nam nulla. Integer pede justo, lacinia eget, tincidunt eget, tempus vel, pede.","Syntax error in formula '__legacy_if(this['STATUS'] == 'Selesai', new Date(new Date(this['TGL TERIMA']).getTime() + rand(1,10)*24*60*60*1000), null)'"
